marital,family,ses,cig1,gender,age
0,1,-0.479,3,0,14.69
0,1,-0.479,1,1,42
0,1,-1.061,2,1,13.18
0,1,-1.061,2,0,15.88
0,1,-0.906,2,0,11.9
0,1,-0.906,2,1,14.38
0,1,-0.906,2,1,38
0,1,-0.983,1,1,11.47
0,1,-0.983,4,1,30
1,1,0.953,3,0,13.12
1,1,0.953,3,1,16.55
1,1,0.953,3,0,17.46
1,1,0.953,1,1,43
1,1,0.953,1,0,37
0,1,-0.801,1,0,12.4
0,1,-0.801,2,1,35
1,1,0.616,5,0,14.55
1,1,0.616,5,1,12.76
1,1,0.616,2,1,36
1,1,0.616,2,0,33
1,1,1.241,1,0,11.16
1,1,1.241,2,1,37
1,1,1.241,2,0,40
0,1,-0.948,3,1,11.01
0,1,-0.948,3,1,34
1,1,0.399,2,1,14.59
1,1,0.399,1,1,42
0,1,-0.549,1,1,12.83
0,1,-0.549,1,0,14.63
0,1,-0.549,1,1,42
0,1,-0.863,1,1,15.62
0,1,-0.863,1,1,53
1,1,0.196,1,1,11.26
1,1,0.196,1,0,13.97
1,1,0.196,2,0,50
1,2,0.783,2,1,15.13
1,2,0.783,2,1,18.54
1,2,0.783,2,1,47
1,2,0.783,2,0,48
1,1,1.264,1,0,11.13
1,1,1.264,1,1,32
1,2,0.476,1,0,11.99
1,2,0.476,2,1,30
1,2,0.476,2,0,32
0,1,-0.689,1,0,11.34
0,1,-0.689,1,0,37
0,1,-0.638,1,0,12.35
1,1,0.744,1,0,13.65
1,1,0.744,2,1,41
1,1,0.744,3,0,42
0,1,-0.913,1,0,12.51
0,1,-0.913,3,1,41
0,1,-1.061,2,1,38
1,1,0.204,2,0,11.03
1,1,0.204,2,1,34
1,1,0.204,2,0,34
1,2,-0.283,1,1,12.21
1,2,-0.283,2,1,33
1,2,-0.283,5,0,44
1,2,0.386,1,1,11.09
1,2,0.386,3,1,36
0,2,0.386,1,1,11.08
0,2,0.386,1,0,16.39
0,2,0.386,1,1,40
0,1,-1.018,3,1,12.16
0,1,-1.018,3,1,15.56
0,1,-1.018,3,0,19.48
0,1,-1.018,2,1,44
1,1,0.469,1,1,13.3
1,1,0.469,1,1,32
1,1,1.178,1,1,11.1
1,1,1.178,1,0,12.91
1,1,1.178,1,1,35
1,1,1.178,1,0,38
1,2,-0.681,2,1,14.81
1,2,-0.681,3,1,45
0,1,-0.308,1,0,11.72
0,1,-0.308,2,1,35
1,2,0.953,1,0,14
1,2,0.953,2,1,38
1,2,0.953,2,0,40
1,1,1.024,1,1,38
1,1,1.024,4,0,39
1,1,0.869,1,0,12.6
1,1,0.869,1,1,15.83
1,1,0.869,1,0,38
0,1,-0.549,1,0,12.4
0,1,-0.549,1,0,17.83
1,1,1.093,1,1,12.35
1,1,1.093,1,0,14.66
1,1,1.093,2,1,39
0,1,-0.696,3,1,13.89
0,1,-0.696,2,1,38
1,2,0.077,1,0,12.32
1,2,0.077,1,1,34
0,1,-0.948,1,0,14.35
1,2,0.686,2,1,14.95
1,2,0.686,4,1,32
0,1,-1.053,3,0,11.56
0,1,-1.053,5,1,35
0,1,-0.948,2,0,14.03
0,1,-0.948,2,1,15.84
1,2,0.869,1,0,11.42
1,2,0.869,1,1,11.42
1,2,0.869,1,1,34
1,1,0.624,1,1,12.38
1,1,0.624,1,1,37
1,1,0.624,2,0,38
0,1,-1.201,1,1,45
0,1,-0.948,5,1,15.82
0,1,-0.948,5,0,19.01
0,1,-0.948,4,1,48
1,1,0.089,3,0,11.66
1,1,0.089,3,0,14.2
1,1,0.089,4,1,36
1,1,0.089,4,0,43
1,2,0.771,3,1,14.28
1,2,0.771,3,1,17.42
1,2,0.771,3,1,25.11
1,2,0.771,1,1,39
1,2,0.771,1,0,33
1,1,0.921,1,0,15.09
1,1,0.921,2,1,45
1,1,0.921,1,0,56
0,1,-0.549,3,1,13.88
0,1,-0.549,2,1,43
1,2,1.139,2,0,14.89
0,1,-0.956,1,0,11.25
0,1,-0.956,1,0,12.29
0,1,-0.956,1,1,15.63
0,1,-0.956,1,1,37
1,1,0.969,1,0,12.06
1,1,0.969,1,1,15.12
1,1,0.969,1,1,38
0,1,-0.619,1,0,11.93
0,1,-0.619,1,1,49
1,2,0.251,1,0,15.09
1,2,0.251,1,1,37
0,1,-0.941,1,1,11.72
0,1,-0.941,1,0,14.19
1,2,0.856,1,0,13.67
1,2,0.856,1,1,36
1,2,0.099,1,1,11.83
1,2,0.099,1,1,33
1,2,0.099,1,0,33
1,2,1.423,1,0,11.28
1,2,1.423,1,0,14.38
1,2,1.423,2,1,43
1,2,1.423,1,0,42
1,1,0.631,2,0,12.52
1,1,0.631,2,1,32
0,2,-0.486,3,0,14.28
1,2,-0.044,1,1,12.08
1,2,-0.044,1,1,20.28
1,2,-0.044,2,1,36
1,2,-0.044,2,0,45
0,2,-0.661,1,1,14.39
0,2,-0.661,3,1,48
0,1,-0.801,2,1,13.53
1,1,0.533,1,0,12.87
1,1,0.533,1,1,16.13
1,1,0.533,1,1,14.79
1,1,0.533,1,1,44
1,1,0.533,1,0,45
0,1,-0.549,1,1,13.57
0,1,-0.549,2,1,42
0,2,-0.041,4,0,14.35
1,1,0.653,1,0,11.94
1,1,0.653,1,1,14.46
1,1,0.653,1,1,45
1,1,0.653,1,0,38
1,1,1.621,2,1,14.38
1,1,1.621,1,1,39
0,1,-0.628,3,0,13.4
0,1,-0.628,3,1,15.73
0,1,-0.628,4,1,40
0,1,-0.611,1,1,34
1,2,-0.238,2,0,12.39
1,1,1.121,2,1,11.63
1,1,1.121,2,1,16.24
1,1,1.121,3,1,36
1,1,1.121,4,0,37
0,1,-1.053,1,1,11.01
0,1,-1.053,3,1,33
1,1,1.066,1,0,13.31
1,1,1.066,1,1,14.31
1,1,1.066,1,1,44
0,1,-1.053,1,1,15.72
1,2,1.206,1,0,14.9
0,1,-0.843,2,1,13.66
0,1,-0.843,4,1,46
1,1,0.869,1,0,11.14
1,1,0.869,1,0,12.31
1,1,0.869,5,1,38
1,1,0.869,5,0,38
1,1,0.294,1,0,12.19
1,1,0.294,1,0,34
0,1,-0.913,5,1,15.82
0,1,-0.913,1,1,44
0,1,-0.738,1,1,12.01
0,1,-0.738,1,1,37
0,1,-0.808,1,1,12.98
0,1,-0.808,2,1,43
0,1,-0.751,4,1,31
0,1,-0.751,2,0,15.3
0,1,-0.751,2,1,37
1,2,0.007,4,0,14.75
1,2,0.007,4,1,14.74
1,2,0.007,4,1,40
1,2,0.166,1,1,12.76
1,2,0.166,1,1,17.49
1,2,0.166,1,1,39
1,2,0.166,5,0,48
0,1,-0.568,2,1,14.48
0,1,-0.568,5,1,34
0,1,-0.836,1,1,12.2
0,1,-0.836,5,1,33
1,1,0.729,3,1,14.8
1,1,0.729,4,1,38
1,1,0.729,2,0,39
0,1,-1.088,2,1,14.24
0,1,-1.088,4,1,31
0,1,-0.983,3,1,29
0,1,-1.018,4,0,14.46
1,1,0.589,2,1,14.33
1,1,0.589,2,1,17.25
1,1,0.589,1,1,42
1,2,0.771,1,0,11.4
1,2,0.771,1,0,15.92
0,1,-0.808,4,0,11.94
0,1,-0.808,3,1,35
1,1,0.911,1,0,11.99
1,1,0.911,1,1,33
1,1,0.911,1,0,33
1,2,0.201,1,0,14.12
1,2,0.201,4,1,43
1,2,0.201,5,0,46
1,1,1.151,1,0,11.15
1,1,1.151,1,1,45
1,1,1.151,1,0,41
1,1,0.589,1,1,12.06
1,1,0.589,1,1,34
0,2,-0.851,3,0,12.09
1,1,0.252,2,1,11.03
1,1,0.252,2,0,14.01
1,1,0.252,4,0,32
1,1,0.022,2,1,10.97
1,1,0.022,2,0,12.76
1,1,0.022,2,1,30
1,1,0.022,2,0,32
0,1,-1.018,1,1,14.19
0,1,-1.018,4,1,42
1,1,0.848,1,1,14.41
1,1,0.848,1,1,47
1,1,0.848,1,0,49
1,2,0.953,2,1,38
1,2,0.953,1,0,32
1,2,0.126,2,0,13.1
1,2,0.126,4,1,44
1,2,0.126,5,0,39
0,1,-0.638,1,1,14.03
0,1,-0.638,1,0,16.93
1,1,1.404,2,0,42
1,2,-0.886,1,0,13.77
1,2,-0.886,1,1,38
0,1,-0.451,1,1,11.98
1,2,1.206,5,1,40
1,2,1.206,1,0,44
1,1,-0.191,5,0,31
1,2,0.743,1,1,11.12
1,2,0.743,3,0,27
0,1,-0.773,3,1,11.53
0,1,-0.773,2,1,33
0,1,-0.556,3,1,14.58
0,1,-0.556,4,1,36
0,1,-0.514,5,0,14.61
0,1,-0.514,3,1,36
1,2,0.756,3,1,14.9
1,2,0.756,1,1,32
0,1,-0.638,1,0,13.47
1,2,0.896,2,1,15.2
1,2,0.896,1,1,38
1,2,0.896,1,0,44
0,1,-0.689,1,0,12.01
1,1,0.519,1,1,11.02
1,1,0.519,1,0,13.23
1,1,0.519,1,1,38
1,1,0.519,1,0,43
0,2,-0.197,2,0,11.2
0,2,-0.197,2,0,14.04
0,2,-0.197,4,1,35
1,2,0.471,1,1,29
1,2,0.471,1,0,45
1,1,0.119,1,1,13.7
1,1,0.119,2,1,35
1,1,0.119,2,0,39
0,2,-0.976,5,1,14.29
0,2,-0.976,3,1,32
1,1,0.745,1,1,11.26
1,1,0.745,4,1,27
0,1,-0.886,1,1,11.51
0,1,-0.886,1,1,12.79
0,1,-0.766,3,1,14.96
0,1,-0.766,2,1,25.11
0,1,-0.603,2,0,14.02
0,1,-0.556,3,1,13.97
0,1,-0.556,3,0,16.55
0,1,-0.556,1,1,40
0,2,-0.983,1,1,36
0,1,-0.409,2,0,13.02
0,1,-0.409,2,1,43
0,1,-1.096,1,0,12.31
0,1,-1.096,2,1,33
1,2,0.809,1,1,27
0,1,-1.209,5,1,14.28
0,1,-1.209,4,1,32
0,1,-0.549,1,1,11.46
0,1,-0.549,1,0,13.82
0,1,-0.549,1,1,37
0,2,-0.948,3,0,11.09
0,2,-0.948,3,1,13.82
