id,status24,age,ssound,sglob,svmail,sinfor,sprice,spromo,sadver,sperson,simage,lintent
174,1,46,4.5,3.333333333,1,7.336517867,6.352064314,6.153411942,6.263032242,7.202826959,3.166666667,2
182,1,41,7,9,8.104100613,7.336517867,6.352064314,8,6,7.202826959,6,7.418627451
629,0,42,9,6,7.666666667,7.25,5,3,1,5,5.5,1
639,0,24,7.25,7.833333333,10,7.336517867,7,5.5,4.2,10,7.5,10
799,0,35,6.5,3.4,8,8.5,7.75,1,7.8,7.202826959,6,1
813,0,45,9.25,8.6,8.104100613,7.336517867,3.5,3.5,3.8,7.202826959,3.166666667,1
843,1,50,3,6,8.104100613,8,2.75,2,2.2,7.5,3.333333333,10
900,1,25,9,6.666666667,1,3.25,6.75,7.5,6.2,7.4,2.666666667,5
952,1,28,7.5,7,6,7.336517867,4.75,6,7.4,10,6.666666667,9
1112,1,25,3,2.666666667,4.666666667,3,1.75,1.5,1.6,4.4,4.666666667,5
1147,0,59,7,7.4,8,7.336517867,6.352064314,6.153411942,1,7.202826959,7,9
1148,1,25,3,3.833333333,8.104100613,4.5,4,5.5,5.4,9.6,6,1
1175,1,28,2,3,8.104100613,7.336517867,2.75,2,1.4,7.202826959,1.5,1
1298,1,31.78312958,6.5,7.666666667,8.104100613,9,4.75,6.5,8.2,7.202826959,7.5,1
1358,0,20,10,9.833333333,8.333333333,6.25,3.25,5.5,7.4,7.202826959,4.333333333,1
1481,0,50,8,9.333333333,10,7.336517867,8.333333333,8,4.4,7.202826959,8.5,10
1627,1,18,6.5,6.833333333,8.666666667,7.5,8.5,1,3,5.2,8.333333333,5
1789,1,37,10,5.666666667,8.104100613,9.5,8.5,3,8.8,7.202826959,10,5
1886,0,52,7,6.166666667,8,9.5,5,5,5.4,10,7,10
2083,0,23,8.75,7.333333333,7,3.25,4.5,3,1.8,7.202826959,3.333333333,1
2084,0,60,2.333333333,4.25,8.104100613,7.336517867,2,2.5,1.6,1.8,2,7
2085,1,25,7.5,6.333333333,8,6.75,8.5,8,4.6,7.202826959,6.666666667,10
2134,0,50,5.25,5.333333333,6.666666667,6.5,3.75,4.5,7.6,5.8,2.666666667,4
2138,0,30,8,6.5,8.104100613,7.336517867,6,8,4.8,7.202826959,6.833333333,9
2299,1,29,3,6,4,7.336517867,3.75,2,3.2,3,3.833333333,1
2305,1,37,6,7.166666667,9,7.5,6,3,2.6,10,4.666666667,5
2362,1,30,4.75,5.8,7,6.5,4.25,2,4.2,8,4.666666667,5
2475,0,43,8,6.666666667,8.666666667,9,8.25,3,1.6,8,6.166666667,10
2484,1,27,8,6.5,6.333333333,4.666666667,5.25,9,5,10,9.166666667,5
2633,1,36,6,6.666666667,10,9,3,5,7.2,2,3.333333333,1
2661,1,36,10,7.333333333,10,10,6.25,7.5,7.2,9,7.166666667,10
2742,1,21,4.75,3.666666667,5.333333333,7.336517867,4.25,7,2.2,2.4,3.166666667,1
2786,0,52,7.5,7,7.333333333,7.5,6.5,8,7.8,2.2,7.166666667,5
2834,1,37,6,7.833333333,5.333333333,7.336517867,2.333333333,7.5,4.4,8.2,4.25,1
2909,0,44,5.5,5.666666667,8,6.75,6,3,4.5,7.202826959,6.8,7
2964,0,41,1,1.4,10,9,4.75,6,6.8,3.6,10,2
3032,0,26,6.75,7.8,9.333333333,6.25,5.5,3.5,7,7.202826959,7,4
3062,1,36,3.75,3.833333333,7.333333333,1,2.25,1,1,10,4.333333333,5
3135,0,35,9,8.25,9,7.336517867,1,1,1,1,1,1
3143,1,29,3.75,4.5,8.104100613,8.5,2.75,8.5,7.2,8.2,6,5
3221,1,30,3.5,5.333333333,5.333333333,6.75,4.25,3.5,5.2,1,2.166666667,1
3243,1,36,2,5,8.104100613,7.336517867,1.25,1,1,2.6,1.666666667,1
3283,1,28,7.25,7.75,8.104100613,8,6,2,5.2,6.8,6.333333333,9
3285,1,21,6.75,6,6.666666667,4.5,2.5,6,5,9,1.5,1
3324,0,24,7.5,8.333333333,10,7.5,6.75,10,6.2,8.4,9.666666667,10
3502,1,25,4.5,5.333333333,8,7.336517867,5.25,3,2.4,5.4,6.5,1
3524,1,20,4.25,2.833333333,2.333333333,7.336517867,2.25,3,2.8,1,1.166666667,1
3670,1,34,4,4.833333333,5,5,3.5,4,3.8,5,4.666666667,2
3679,1,34,8.25,9.666666667,3.666666667,5.25,8.75,10,4.4,7.202826959,6.333333333,4
3681,0,42,8.25,6.833333333,3,7,5.75,3,5.2,7.202826959,7.2,2
3684,1,45,9,7.666666667,6.333333333,2,4.75,10,4.8,9.6,5,10
3774,1,30,4,7.8,10,7.336517867,1,1,3.25,7.202826959,1,3
3911,1,33,8,6,6.666666667,7.336517867,1,3,3,10,3.166666667,1
4164,1,27,4.5,3.333333333,7.666666667,5,3,3.5,3.2,2.8,2.333333333,1
4241,1,31.78312958,7.5,6.5,8,7,9,10,9,7.202826959,8.5,5
4255,1,22,4.75,6.666666667,7.333333333,5,2.25,3.5,3.8,5.2,5.166666667,6
4267,0,30,4,6,8.104100613,7.336517867,2.75,2.5,1,1,1.666666667,3
4272,1,30,6.75,5.833333333,4.666666667,3.5,3.25,1,2.6,7.2,2.5,1
4274,1,44,5.5,5.666666667,7.666666667,6,6,4,5,7.202826959,4.666666667,8
4327,0,38,8.75,7.166666667,4.333333333,5.75,4.5,6.5,6.5,8.2,3.333333333,1
4363,1,25,6.75,6.2,5.333333333,6.5,5.25,9,7.6,4.4,5.666666667,5
4407,1,17,6.25,6.166666667,8.666666667,7.5,1,1,6.263032242,7.202826959,8.5,10
4699,1,17,4.25,5,7.333333333,4.25,1,3,3.8,7.202826959,6.5,3
4715,0,20,8.5,7.666666667,8.104100613,7.336517867,4.5,3.5,5,7.8,4.833333333,9
4745,1,27,6,6.333333333,3.666666667,4.5,1.5,5,3.8,7.202826959,2.666666667,5
4768,1,28,4.5,6.333333333,8.666666667,6,3.25,2.5,5.6,4.2,4.666666667,4
4819,1,22,5.5,6.5,8.104100613,5.25,4.25,3,8.8,7.202826959,4.166666667,3
4866,0,38,8,9.5,10,10,6.25,7,6.4,2.333333333,9.333333333,10
4871,0,50,8.5,5.166666667,8.104100613,7.336517867,6.75,5.5,5.2,7.202826959,7,5
4876,1,24,6.75,6.666666667,7,6.75,4.25,5.5,5,6.5,4.166666667,3
5062,0,67,7,7.6,8.104100613,7,6.75,6,5.2,7.4,7.25,10
5072,0,33,7.25,7.833333333,8,6,3.5,10,10,7.8,8.666666667,7
5074,0,50,5,4.833333333,8.104100613,7.336517867,4.75,2.5,3.8,1.6,4.5,5
5144,0,26,3,2.833333333,8.104100613,7.336517867,1,3,2,7.202826959,3.166666667,2
5219,1,23,4.75,6,6.333333333,7.336517867,3,4.5,4.2,2.6,3.333333333,2
