dura24,age,ssound,sglob,svmail,sinfor,sprice,spromo,sadver,sperson,simage,sglobal,lintent
13,46,4.5,3.333333333,1,7.336517867,6.352141917,6.153411942,6.263032242,7.203374631,3.166666667,2,2
16,41,7,9,8.104100613,7.336517867,6.352141917,8,6,7.203374631,6,9,7.418034795
24,42,9,6,7.666666667,7.25,5,3,1,5,5.5,3.666666667,1
24,24,7.25,7.833333333,10,7.336517867,7,5.5,4.2,10,7.5,10,10
24,35,6.5,3.4,8,8.5,7.75,1,7.8,7.203374631,6,2,1
24,45,9.25,8.6,8.104100613,7.336517867,3.5,3.5,3.8,7.203374631,3.166666667,4.333333333,1
13,50,3,6,8.104100613,8,2.75,2,2.2,7.5,3.333333333,2.333333333,10
20,25,9,6.666666667,1,3.25,6.75,7.5,6.2,7.4,2.666666667,3,5
13,28,7.5,7,6,7.336517867,4.75,6,7.4,10,6.666666667,7.333333333,9
12,25,3,2.666666667,4.666666667,3,1.75,1.5,1.6,4.4,4.666666667,4,5
24,59,7,7.4,8,7.336517867,6.352141917,6.153411942,1,7.203374631,7,6,9
13,25,3,3.833333333,8.104100613,4.5,4,5.5,5.4,9.6,6,3.666666667,1
12,28,2,3,8.104100613,7.336517867,2.75,2,1.4,7.203374631,1.5,2.666666667,1
16,31.78416035,6.5,7.666666667,8.104100613,9,4.75,6.5,8.2,7.203374631,7.5,4.333333333,1
24,20,10,9.833333333,8.333333333,6.25,3.25,5.5,7.4,7.203374631,4.333333333,5,1
23,35,6.5,4.666666667,8.666666667,5.25,2.75,3,5.2,7.203374631,4.166666667,3,1
24,50,8,9.333333333,10,7.336517867,8.333333333,8,4.4,7.203374631,8.5,5,10
12,18,6.5,6.833333333,8.666666667,7.5,8.5,1,3,5.2,8.333333333,7,5
12,37,10,5.666666667,8.104100613,9.5,8.5,3,8.8,7.203374631,10,8.666666667,5
24,52,7,6.166666667,8,9.5,5,5,5.4,10,7,6.333333333,10
24,23,8.75,7.333333333,7,3.25,4.5,3,1.8,7.203374631,3.333333333,4.333333333,1
24,60,2.333333333,4.25,8.104100613,7.336517867,2,2.5,1.6,1.8,2,2,7
23,25,7.5,6.333333333,8,6.75,8.5,8,4.6,7.203374631,6.666666667,7,10
24,50,5.25,5.333333333,6.666666667,6.5,3.75,4.5,7.6,5.8,2.666666667,2.333333333,4
24,30,8,6.5,8.104100613,7.336517867,6,8,4.8,7.203374631,6.833333333,6,9
23,35,5.75,6.833333333,5,4,6.25,7.5,4.4,6.8,5.666666667,5.666666667,8
14,29,3,6,4,7.336517867,3.75,2,3.2,3,3.833333333,3,1
11,37,6,7.166666667,9,7.5,6,3,2.6,10,4.666666667,8,5
16,30,4.75,5.8,7,6.5,4.25,2,4.2,8,4.666666667,4.666666667,5
24,43,8,6.666666667,8.666666667,9,8.25,3,1.6,8,6.166666667,7,10
16,27,8,6.5,6.333333333,4.666666667,5.25,9,5,10,9.166666667,4.333333333,5
18,36,6,6.666666667,10,9,3,5,7.2,2,3.333333333,2.333333333,1
16,36,10,7.333333333,10,10,6.25,7.5,7.2,9,7.166666667,8,10
13,21,4.75,3.666666667,5.333333333,7.336517867,4.25,7,2.2,2.4,3.166666667,2.666666667,1
24,52,7.5,7,7.333333333,7.5,6.5,8,7.8,2.2,7.166666667,6.666666667,5
12,37,6,7.833333333,5.333333333,7.336517867,2.333333333,7.5,4.4,8.2,4.25,4,1
18,38,7.75,10,8.104100613,7.336517867,6.5,8,6.4,9.4,6.666666667,7.333333333,1
